Étudier à l'étranger;J’aimerais pouvoir étudier dans un autre pays pour découvrir une nouvelle culture et améliorer mes compétences linguistiques.;null
Créer une startup;Je rêve de lancer ma propre entreprise dans le domaine des technologies, en créant une application pour résoudre un problème auquel je suis sensible.;1
Faire du bénévolat;Je souhaite m’impliquer davantage dans des actions solidaires, en particulier auprès des jeunes ou des personnes en difficulté.;2
Apprendre une nouvelle langue;Je désire apprendre l’espagnol pour pouvoir voyager en Amérique Latine et découvrir les cultures locales tout en me rendant plus compétitif sur le marché du travail.;3
Devenir ingénieur;Mon rêve est de devenir ingénieur en informatique et de travailler sur des projets qui allient technologie et impact social.;4
Voyager autour du monde;J'ai envie de voyager pour découvrir le monde et m'enrichir des différentes cultures qui existent.;5
Faire une thèse;Je souhaite poursuivre mes études et faire une thèse pour contribuer à l'avancement des connaissances dans mon domaine.;null
Travailler dans une ONG;Je voudrais travailler dans une organisation non gouvernementale pour aider les populations défavorisées et défendre les droits humains.;1
Se perfectionner en sport;J’ai l’envie de me perfectionner dans un sport, en particulier le basketball, pour atteindre un niveau professionnel.;2
Lancer un projet artistique;J’ai envie de créer un projet artistique autour de la photographie, pour capturer les moments forts de la vie quotidienne.;3
