Honnêteté;Je crois fermement à l’importance de l’intégrité, que ce soit dans mes relations avec les autres ou dans mon travail académique.;null
Respect;Je valorise le respect des autres, de leurs opinions et de leur temps, en particulier dans les interactions en groupe ou en classe.;1
Solidarité;J’accorde beaucoup d’importance à aider mes camarades, à participer activement à la vie collective et à soutenir ceux qui en ont besoin.;2
Autonomie;Je tiens à être indépendant dans mes études et mes décisions. Je crois que l’autonomie est essentielle pour mon développement personnel et académique.;3
Responsabilité;Je prends la responsabilité de mes actions et je m'efforce toujours de tenir mes engagements.;4
Équité;Je m’efforce de traiter tout le monde de manière juste et égale, sans discrimination.;5
Liberté;Je valorise ma liberté d’expression et je défends le droit de chacun à penser et à agir selon ses convictions.;null
Justice;Je me sens concerné par les questions de justice sociale et je m'engage à défendre l'égalité des droits.;1
Bienveillance;Je veille toujours à agir de manière bienveillante et respectueuse envers les autres, en cherchant à encourager et soutenir.;2
Collaboration;Je crois que le travail collectif permet d'atteindre de meilleurs résultats et je favorise toujours un esprit collaboratif.;3
