Compte rendu 28,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai passé beaucoup de temps dessus.
Analyse 41,L'IA m'a donné des exemples concrets.,À revoir pour la prochaine fois.
Présentation 17,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,À revoir pour la prochaine fois.
Synthèse 47,L'IA m'a aidé à corriger mes fautes d'orthographe.,À revoir pour la prochaine fois.
Rapport de stage,L'IA m'a permis de mieux structurer mes phrases.,J'ai passé beaucoup de temps dessus.
Dissertation 1,L'IA a généré un premier jet que j'ai retravaillé.,Travail fait rapidement.
Projet - Math,L'IA a généré un premier jet que j'ai retravaillé.,"Premier essai, pas encore au point."
Présentation - Philo,L'IA a généré un premier jet que j'ai retravaillé.,Travail fait rapidement.
Dissertation - Physique,L'IA m'a donné des exemples concrets.,À revoir pour la prochaine fois.
Rendu du 21 November 2022,L'IA m'a permis de mieux structurer mes phrases.,À revoir pour la prochaine fois.
Mémoire - Philo,L'IA m'a donné des exemples concrets.,À discuter avec le professeur.
Rapport de stage - Math,L'IA m'a permis de mieux structurer mes phrases.,J'ai eu du mal à comprendre certaines consignes.
Synthèse - Physique,J'ai demandé à l'IA de générer un plan.,À revoir pour la prochaine fois.
Présentation,L'IA m'a aidé à clarifier certains concepts.,J'ai eu du mal à comprendre certaines consignes.
Synthèse,L'IA m'a permis de mieux structurer mes phrases.,J'ai eu du mal à comprendre certaines consignes.
Mémoire 23,L'IA m'a permis de mieux structurer mes phrases.,"Travail fait en retard, à améliorer."
Synthèse - Math,L'IA a généré un premier jet que j'ai retravaillé.,J'ai eu du mal à comprendre certaines consignes.
Synthèse,L'IA m'a aidé à clarifier certains concepts.,"Travail fait en retard, à améliorer."
Analyse 33,J'ai utilisé l'IA pour vérifier la grammaire.,À discuter avec le professeur.
Synthèse,J'ai utilisé l'IA pour vérifier la grammaire.,"Premier essai, pas encore au point."
Présentation 28,Je me suis aidé de l'IA pour résumer un texte.,À discuter avec le professeur.
Rapport de stage 11,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,À discuter avec le professeur.
Projet,L'IA m'a permis de mieux structurer mes phrases.,"Premier essai, pas encore au point."
Projet - Philo,Je me suis aidé de l'IA pour résumer un texte.,À revoir pour la prochaine fois.
Présentation - Eco,Je me suis aidé de l'IA pour résumer un texte.,J'ai passé beaucoup de temps dessus.
Compte rendu,J'ai utilisé l'IA pour reformuler mes idées.,Travail fait rapidement.
Projet,L'IA m'a aidé à corriger mes fautes d'orthographe.,À revoir pour la prochaine fois.
