Organisation;Je suis capable de bien organiser mon emploi du temps, ce qui m'aide à gérer mes révisions, mes loisirs et mes responsabilités.;null
Créativité;J’ai une approche originale des problèmes et j’aime trouver des solutions innovantes dans mes projets scolaires et personnels.;1
Empathie;J’ai une bonne capacité à écouter et comprendre les autres, ce qui me permet de mieux travailler en groupe et d’aider mes camarades.;2
Discipline;Je suis capable de rester concentré sur mes objectifs et de respecter mes engagements, même lorsque la motivation diminue.;3
Leadership;Je prends souvent des initiatives dans les projets de groupe et j'aide à coordonner les efforts des autres pour atteindre nos objectifs.;4
Persévérance;Même quand je rencontre des obstacles, je ne baisse jamais les bras et je trouve des solutions pour continuer.;5
Esprit d'équipe;Je sais travailler en équipe et je suis capable de collaborer efficacement avec mes camarades pour atteindre un objectif commun.;null
Communication;Je sais m'exprimer clairement et efficacement, que ce soit à l'oral ou à l'écrit, pour faire passer mes idées.;1
Adaptabilité;Je m'adapte rapidement aux nouvelles situations et je fais preuve de flexibilité face aux changements.;2
Prise d'initiative;Je n'ai pas peur de prendre des initiatives et de proposer des solutions nouvelles dans les projets.;3
