Proyecto de Fin de Carrera en educación especial
Proyecto Colaborativo:  gestión de proyectos de TI con un centro hospitalario
Misión Profesional:  comercio electrónico dentro de una organización sin fines de lucro
Taller:  turismo sostenible con un hospital
Estudio de Caso:  desarrollo de software para una ONG
Misión Profesional:  educación especial dentro de una escuela primaria
Taller:  turismo sostenible con una escuela primaria
Proyecto Individual:  agronomía para un hospital
Proyecto de Fin de Carrera en diseño gráfico
Proyecto de Fin de Carrera en gestión de proyectos de TI
Proyecto de Fin de Carrera en contabilidad y finanzas
Entrega Práctica:  contabilidad y finanzas para un centro de formación
Proyecto Colaborativo:  desarrollo de software con una organización sin fines de lucro
Entrega Práctica:  recursos humanos para un hospital
Misión Profesional:  animación sociocultural dentro de una granja orgánica
Proyecto Individual:  ingeniería civil para un medio de comunicación en línea
Proyecto Colaborativo:  robótica industrial con una organización sin fines de lucro
Taller:  educación especial con una escuela primaria
Taller:  arquitectura de interiores con una startup
Entrega Práctica:  química analítica para una escuela primaria
Taller:  contabilidad y finanzas con una granja orgánica
Simulación Profesional:  energías renovables en un medio de comunicación en línea
Proyecto Tutorizado:  agronomía en una agencia de comunicación
Proyecto Colaborativo:  educación especial con un hospital
Proyecto de Fin de Carrera en marketing digital
Taller:  investigación académica con un laboratorio de investigación
Taller:  química analítica con una firma de consultoría
Proyecto de Fin de Carrera en turismo sostenible
Proyecto Individual:  desarrollo de software para un centro hospitalario
Prácticas en biología molecular en un laboratorio de investigación
Proyecto Individual:  comercio electrónico para una firma de consultoría
Estudio de Caso:  contabilidad y finanzas para un centro de formación
Simulación Profesional:  gestión de riesgos en una empresa de construcción
Proyecto de Fin de Carrera en arquitectura de interiores
Proyecto Individual:  derecho empresarial para una granja orgánica
Simulación Profesional:  derecho empresarial en una ONG
Proyecto Colaborativo:  turismo sostenible con una startup
Entrega Práctica:  energías renovables para un museo
Proyecto Tutorizado:  marketing digital en un bufete de abogados
Proyecto de Fin de Carrera en desarrollo de software
Estudio de Caso:  agronomía para una organización sin fines de lucro
Taller:  química analítica con una granja orgánica
Estudio de Caso:  contabilidad y finanzas para un centro de formación
Taller:  investigación académica con un laboratorio de investigación
Misión Profesional:  gestión de riesgos dentro de una ONG
Proyecto de Fin de Carrera en contabilidad y finanzas
Proyecto Individual:  agronomía para una firma de consultoría
Proyecto Colaborativo:  comunicación corporativa con una entidad gubernamental
Proyecto de Fin de Carrera en contabilidad y finanzas
Prácticas en arquitectura de interiores en un centro hospitalario
Entrega Práctica:  química analítica para un laboratorio de investigación
Proyecto Individual:  comunicación corporativa para una granja orgánica
Entrega Práctica:  periodismo de investigación para una escuela primaria
Misión Profesional:  animación sociocultural dentro de una PYME local
Estudio de Caso:  energías renovables para un centro de formación
Simulación Profesional:  traducción técnica en un laboratorio de investigación
Estudio de Caso:  logística y cadena de suministro para una entidad gubernamental
Simulación Profesional:  comunicación corporativa en un centro de formación
Simulación Profesional:  investigación académica en una startup
Entrega Práctica:  logística y cadena de suministro para un museo
Proyecto Tutorizado:  arquitectura de interiores en una ONG
Proyecto Tutorizado:  gestión de riesgos en una PYME local
Entrega Práctica:  gestión de riesgos para una PYME local
Proyecto Tutorizado:  traducción técnica en una empresa de construcción
Taller:  desarrollo de software con un centro de formación
Taller:  animación sociocultural con un hospital
Proyecto Colaborativo:  gestión de proyectos de TI con un museo
Estudio de Caso:  gestión de proyectos de TI para una PYME local
Proyecto de Fin de Carrera en marketing digital
Proyecto Colaborativo:  educación especial con una PYME local
Entrega Práctica:  desarrollo de software para un centro hospitalario
Misión Profesional:  ingeniería civil dentro de una startup
Proyecto Individual:  desarrollo de software para un centro de formación
Estudio de Caso:  periodismo de investigación para una ONG
Taller:  logística y cadena de suministro con una PYME local
Proyecto de Fin de Carrera en marketing digital
Estudio de Caso:  ingeniería civil para un centro hospitalario
Proyecto Individual:  turismo sostenible para una entidad gubernamental
Proyecto Tutorizado:  desarrollo de software en una organización sin fines de lucro
Taller:  desarrollo de software con una multinacional
Entrega Práctica:  traducción técnica para un laboratorio de investigación
Proyecto Tutorizado:  energías renovables en un centro hospitalario
Proyecto Colaborativo:  comercio electrónico con una organización sin fines de lucro
Proyecto Tutorizado:  ingeniería civil en una entidad gubernamental
Proyecto Individual:  biología molecular para una agencia de comunicación
Prácticas en turismo sostenible en una startup
Prácticas en psicología clínica en un laboratorio de investigación
Entrega Práctica:  contabilidad y finanzas para una multinacional
Proyecto Tutorizado:  traducción técnica en una agencia de comunicación
Proyecto de Fin de Carrera en comercio electrónico
Proyecto Tutorizado:  diseño gráfico en una PYME local
Proyecto Individual:  salud pública para una granja orgánica
