Internship in socio-cultural animation at a hospital
Internship in civil engineering at a university
Final Year Project in risk management
Professional Simulation:  software development in a communication agency
Internship in academic research at a construction company
Case Study:  civil engineering for an NGO
Workshop:  business law with a hospital center
Practical Assignment:  accounting and finance for a hotel
Professional Mission:  corporate communication within a research laboratory
Collaborative Project:  industrial robotics with an online media
Individual Project:  molecular biology for an online media
Professional Mission:  public health within an online media
Professional Mission:  accounting and finance within a consulting firm
Case Study:  corporate communication for a hotel
Case Study:  software development for a construction company
Final Year Project in industrial robotics
Professional Simulation:  digital marketing in a consulting firm
Internship in business law at a local SME
Professional Simulation:  public health in a primary school
Collaborative Project:  public health with a hospital
Internship in public health at an online media
Internship in sustainable tourism at a hotel
Individual Project:  clinical psychology for a multinational corporation
Final Year Project in agronomy
Workshop:  corporate communication with a communication agency
Tutored Project:  public health in a law firm
Workshop:  industrial robotics with a construction company
Individual Project:  renewable energy for a law firm
Final Year Project in risk management
Final Year Project in clinical psychology
Tutored Project:  risk management in a research laboratory
Case Study:  business law for a university
Professional Simulation:  special education in a primary school
Professional Simulation:  civil engineering in a construction company
Professional Simulation:  renewable energy in a local government
Professional Simulation:  renewable energy in a training center
Practical Assignment:  civil engineering for a primary school
Internship in digital marketing at a startup
Professional Simulation:  graphic design in a research laboratory
Professional Simulation:  civil engineering in a hospital
Professional Simulation:  graphic design in a consulting firm
Collaborative Project:  business law with a university
Professional Simulation:  human resources in a startup
Individual Project:  business law for an online media
Final Year Project in socio-cultural animation
Workshop:  clinical psychology with a startup
Collaborative Project:  investigative journalism with a hospital center
Professional Mission:  accounting and finance within a local government
Practical Assignment:  clinical psychology for a construction company
Professional Simulation:  risk management in a startup
Final Year Project in sustainable tourism
Final Year Project in clinical psychology
Professional Mission:  sustainable tourism within a local government
Collaborative Project:  renewable energy with a startup
Case Study:  analytical chemistry for a startup
Professional Mission:  business law within a research laboratory
Individual Project:  e-commerce for an online media
Final Year Project in socio-cultural animation
Professional Mission:  human resources within a non-profit organization
Professional Simulation:  human resources in an organic farm
Professional Simulation:  graphic design in a hospital center
Professional Mission:  human resources within a non-profit organization
Tutored Project:  molecular biology in a training center
Professional Simulation:  corporate communication in a local SME
Case Study:  risk management for a university
Practical Assignment:  sustainable tourism for a hospital
Individual Project:  interior architecture for a startup
Final Year Project in corporate communication
Collaborative Project:  civil engineering with a construction company
Final Year Project in IT project management
Collaborative Project:  human resources with a hospital
Collaborative Project:  academic research with a local government
Professional Simulation:  socio-cultural animation in a non-profit organization
Internship in e-commerce at a communication agency
Tutored Project:  special education in an NGO
Final Year Project in renewable energy
Practical Assignment:  technical translation for a hotel
Workshop:  academic research with a museum
Internship in sustainable tourism at a hospital center
Case Study:  academic research for a hospital
Collaborative Project:  accounting and finance with an organic farm
Collaborative Project:  digital marketing with an NGO
Practical Assignment:  investigative journalism for a training center
Professional Simulation:  interior architecture in a museum
Collaborative Project:  IT project management with a construction company
Individual Project:  accounting and finance for a hospital center
Case Study:  civil engineering for a hotel
Final Year Project in software development
Case Study:  sustainable tourism for a training center
Professional Simulation:  e-commerce in a law firm
Individual Project:  socio-cultural animation for a local SME
Individual Project:  industrial robotics for an organic farm
Tutored Project:  accounting and finance in a research laboratory
Professional Simulation:  public health in a local SME
Case Study:  software development for a training center
Final Year Project in renewable energy
Individual Project:  IT project management for a startup
Workshop:  industrial robotics with an online media
Internship in investigative journalism at a hospital center
Individual Project:  IT project management for a hotel
Case Study:  risk management for a consulting firm
Practical Assignment:  investigative journalism for a hotel
Case Study:  e-commerce for a consulting firm
Tutored Project:  business law in an online media
Collaborative Project:  software development with a non-profit organization
Internship in technical translation at a university
Collaborative Project:  accounting and finance with a university
Case Study:  analytical chemistry for a construction company
Case Study:  corporate communication for a hotel
Case Study:  business law for a law firm
Practical Assignment:  industrial robotics for a local government
Individual Project:  human resources for a hospital
Case Study:  molecular biology for a law firm
Professional Simulation:  accounting and finance in a consulting firm
Internship in e-commerce at a local SME
Internship in business law at a non-profit organization
Professional Mission:  logistics and supply chain within a construction company
Professional Simulation:  IT project management in an organic farm
Collaborative Project:  industrial robotics with a non-profit organization
Case Study:  civil engineering for a local SME
Final Year Project in academic research
Individual Project:  renewable energy for a hospital center
Workshop:  agronomy with a local SME
Case Study:  public health for an online media
Case Study:  technical translation for a construction company
Professional Simulation:  accounting and finance in a local government
Practical Assignment:  investigative journalism for a hospital
Practical Assignment:  analytical chemistry for a local government
Individual Project:  logistics and supply chain for a research laboratory
Final Year Project in interior architecture
Internship in agronomy at a hospital center
Final Year Project in graphic design
Professional Mission:  risk management within a hospital center
Collaborative Project:  risk management with a training center
Professional Simulation:  investigative journalism in a primary school
Professional Simulation:  business law in a hospital
Practical Assignment:  investigative journalism for an organic farm
Practical Assignment:  civil engineering for a construction company
Professional Mission:  human resources within a hospital
Internship in renewable energy at an online media
Collaborative Project:  socio-cultural animation with a museum
Final Year Project in software development
Final Year Project in graphic design
Professional Mission:  graphic design within a training center
Internship in business law at an NGO
Internship in civil engineering at a consulting firm
Professional Mission:  investigative journalism within a construction company
Practical Assignment:  software development for a multinational corporation
Collaborative Project:  risk management with a research laboratory
Professional Mission:  clinical psychology within a construction company
Professional Simulation:  civil engineering in a local SME
Case Study:  technical translation for an organic farm
Workshop:  public health with a startup
Professional Simulation:  interior architecture in a multinational corporation
Professional Mission:  agronomy within a multinational corporation
Workshop:  risk management with an online media
Individual Project:  renewable energy for a museum
Tutored Project:  graphic design in a hospital
Individual Project:  e-commerce for a startup
